,symbol,price,beta,volAvg,mktCap,lastDiv,range,changes,companyName,currency,cik,isin,cusip,exchange,exchangeShortName,industry,website,description,ceo,sector,country,fullTimeEmployees,phone,address,city,state,zip,dcfDiff,dcf,image,ipoDate,defaultImage
125,CVX,91.48,1.21133,10747672.0,176099918000,6.45,51.6-112.6,2.22,Chevron Corp,USD,0000093410,US1667641005,166764100,New York Stock Exchange,NYSE,Oil & Gas Integrated,https://www.chevron.com/,"Chevron Corporation, through its subsidiaries, engages in integrated energy, chemicals, and petroleum operations worldwide. The company operates in two segments, Upstream and Downstream. The Upstream segment is involved in the exploration, development, and production of crude oil and natural gas; processing, liquefaction, transportation, and regasification associated with liquefied natural gas; transportation of crude oil through pipelines; and transportation, storage, and marketing of natural gas, as well as operates a gas-to-liquids plant. The Downstream segment engages in refining crude oil into petroleum products; marketing crude oil and refined products; transporting crude oil and refined products through pipeline, marine vessel, motor equipment, and rail car; and manufacturing and marketing commodity petrochemicals, and fuel and lubricant additives, as well as plastics for industrial uses. Chevron Corporation is also involved in the cash management and debt financing activities; insurance operations; real estate activities; and technology businesses. The company was formerly known as ChevronTexaco Corporation and changed its name to Chevron Corporation in 2005. Chevron Corporation was founded in 1879 and is headquartered in San Ramon, California.",Mr. Michael Wirth,Energy,US,48200,19258421000,6001 Bollinger Canyon Rd,San Ramon,CALIFORNIA,94583-2324,-115.38,70.87,https://financialmodelingprep.com/image-stock/CVX.png,1921-06-24,False
126,CXO,65.6,1.86203,2874722.0,12876952600,0.8,33.13-82.9,-4.2,Concho Resources Inc,USD,0001358071,US20605P1012,20605P101,New York Stock Exchange,NYSE,Oil & Gas E&P,https://www.concho.com/,"Concho Resources Inc., an independent oil and natural gas company, engages in the acquisition, development, and exploration of oil and natural gas properties in the United States. The company's principal operating areas are located in the Permian Basin of West Texas and southeast New Mexico. As of December 31, 2019, its estimated proved reserves totaled 1.0 billion barrels of oil equivalent. The company was founded in 2006 and is headquartered in Midland, Texas.",Mr. Timothy Leach,Energy,US,1453,14326837443,600 W Illinois Ave,Midland,TEXAS,79701,,44.6318,https://financialmodelingprep.com/image-stock/CXO.png,2007-08-03,False
127,D,73.83,0.389,4354506.0,60231918000,3.4499999999999997,57.79-90.89,0.09,Dominion Energy Inc,USD,0000715957,US25746U1097,25746U109,New York Stock Exchange,NYSE,Utilities Diversified,https://www.dominionenergy.com/,"Dominion Energy, Inc. produces and transports energy. The company's Dominion Energy Virginia segment engages in the regulated electric generation, transmission, and distribution operations that serve residential, commercial, industrial, and governmental customers in Virginia and North Carolina. Its Gas Transmission & Storage segment operates interstate natural gas transmission pipelines and underground storage systems, as well as engages in nonregulated retail natural gas marketing, and development of renewable natural gas and LNG infrastructure. The company's Gas Distribution segment engages in the regulated natural gas gathering, transportation, distribution, and sales activities. This segment serves residential, commercial, and industrial customers. Its Dominion Energy South Carolina segment generates, transmits, and distributes electricity and natural gas to residential, commercial, and industrial customers in South Carolina. The company's Contracted Generation segment is involved in the energy marketing and price risk activities. As of December 31, 2019, the company's portfolio of assets included approximately 30,700 megawatts of electric generating capacity; 10,400 miles of electric transmission lines; 85,000 miles of electric distribution lines; 14,600 miles of natural gas transmission, gathering, and storage pipelines; and 103,400 miles of gas distribution pipelines. It serves approximately 7 million utility and retail energy customers; and operates underground natural gas storage systems with approximately 1 trillion cubic feet of storage capacity. The company sells electricity at wholesale prices to rural electric cooperatives and municipalities, as well as into wholesale electricity markets. The company was formerly known as Dominion Resources, Inc. and changed its name to Dominion Energy, Inc. in May 2017. Dominion Energy, Inc. was incorporated in 1983 and is headquartered in Richmond, Virginia.",Mr. Thomas Farrell,Utilities,US,19100,18048192000,120 Tredegar St,Richmond,VIRGINIA,23219,,80.4352,https://financialmodelingprep.com/image-stock/D.png,1983-05-20,False
128,DAL,43.24,1.29015,14903950.0,27575619600,0.403,17.51-59.92,2.09,Delta Air Lines Inc,USD,0000027904,US2473617023,247361702,New York Stock Exchange,NYSE,Airlines,https://www.delta.com/,"Delta Air Lines, Inc. provides scheduled air transportation for passengers and cargo in the United States and internationally. The company operates through two segments, Airline and Refinery. Its domestic network centered on core hubs in Atlanta, Minneapolis-St. Paul, Detroit, and Salt Lake City, as well as coastal hub positions in Boston, Los Angeles, New York-LaGuardia, New York-JFK, and Seattle; and international network centered on hubs and market presence in Amsterdam, London-Heathrow, Mexico City, Paris-Charles de Gaulle, and Seoul-Incheon. The company sells its tickets through various distribution channels, including delta.com and the Fly Delta app, telephone reservations, online travel agencies, traditional brick and mortar, and other agencies. It also provides aircraft maintenance, repair, and overhaul services; and vacation packages to third-party consumers, as well as aircraft charters, and management and programs. The company operates through a fleet of approximately 1,000 aircraft. Delta Air Lines, Inc. was founded in 1924 and is based in Atlanta, Georgia.",Mr. Edward Bastian,Industrials,US,91000,14047152600,1030 Delta Blvd,Atlanta,GEORGIA,30320-6001,,35.9135,https://financialmodelingprep.com/image-stock/DAL.png,2007-04-26,False
129,DD,75.76,1.034569,12302158.0,40640618000,1.2,28.33-87.27,-0.08,Dupont De Nemours Inc,USD,0001666700,US26614N1028,26614N102,NYSE,NYSE,Chemicals,https://www.dupont.com/,"DuPont de Nemours, Inc. provides technology-based materials, ingredients, and solutions in the United States, Canada, the Asia Pacific, Latin America, Europe, the Middle East, and Africa. The company provide Electronics & Imaging segment supplies materials to manufacture photovoltaics and solar cells; materials and printing systems to the advanced printing industry; and materials and solutions for the fabrication of semiconductors and integrated circuits addressing front-end and back-end of the manufacturing process. This segment also provides permanent and process chemistries for the fabrication of printed circuit boards to include laminates and substrates, electroless, and electrolytic metallization solutions, as well as patterning solutions, and materials and metallization processes for metal finishing, decorative, and industrial applications. In addition, it offers various materials to manufacture rigid and flexible displays for liquid crystal displays, advanced-matrix organic light emitting diode, and quantum dot applications. It also provide Transportation & Advanced Polymers segment provides engineering resins, adhesives, lubricants, and parts to engineers and designers in the transportation, electronics, healthcare, industrial, and consumer end-markets. The company in Safety & Construction segment provides engineered products and integrated systems for construction, worker safety, energy, oil and gas, transportation, medical device, and water purification and separation industries. The company was formerly known as DowDuPont Inc. and changed its name to DuPont de Nemours, Inc. in June 2019. DuPont de Nemours, Inc. is based in Wilmington, Delaware.",Mr. Edward Breen,Basic Materials,US,35000,13027741000,974 Centre Rd Bldg 730,Wilmington,DELAWARE,19805,,60.7235,https://financialmodelingprep.com/image-stock/DD.png,2017-09-01,False
130,DE,317.04,0.96483,1620633.0,99684033000,3.04,106.14-317.19,7.8,Deere & Co,USD,0000315189,US2441991054,244199105,New York Stock Exchange,NYSE,Farm & Heavy Construction Machinery,https://www.deere.com/,"Deere & Company, together with its subsidiaries, manufactures and distributes various equipment worldwide. The company operates through three segments: Agriculture and Turf, Construction and Forestry, and Financial Services. The Agriculture and Turf segment provides various agriculture and turf equipment, and related service parts, including large, medium, and utility tractors; tractor loaders; combines, cotton pickers, cotton strippers, and sugarcane harvesters; harvesting front-end equipment; sugarcane loaders and pull-behind scrapers; tillage, seeding, and application equipment comprising sprayers, nutrient management, and soil preparation machinery; self-propelled forage harvesters and attachments, balers, and mowers; riding lawn equipment and walk-behind mowers, golf course equipment, utility vehicles, and commercial mowing equipment along with associated implements; integrated agricultural management systems technology and solutions; and other outdoor power products. The Construction and Forestry segment offers a range of machines and service parts used in construction, earthmoving, road building, material handling, and timber harvesting, including backhoe loaders; crawler dozers and loaders; four-wheel-drive loaders; excavators; motor graders; articulated dump trucks; landscape loaders; skid-steer loaders; milling machines; recyclers; slipform pavers; surface miners; asphalt pavers; compactors; tandem and static rollers; mobile crushers and screens; mobile and stationary asphalt plants; log skidders; feller bunchers; log loaders; log forwarders; and log harvesters and related logging attachments. The Financial Services segment finances sales and leases agriculture and turf, and construction and forestry equipment. It also offers wholesale financing to dealers of the foregoing equipment; and extended equipment warranties, as well as finances retail revolving charge accounts. The company was founded in 1837 and is headquartered in Moline, Illinois.",Mr. John May,Industrials,US,73500,13097658000,1 John Deere Pl,Moline,ILLINOIS,61265,22.91,248.431,https://financialmodelingprep.com/image-stock/DE.png,1933-06-29,False
131,DFS,94.34,1.8645,2832930.0,28962379800,1.76,23.25-100.96,1.5,Discover Financial Services,USD,0001393612,US2547091080,254709108,New York Stock Exchange,NYSE,Credit Services,https://www.discover.com/,"Discover Financial Services, through its subsidiaries, operates as a direct banking and payment services company in the United States. It operates in two segments, Direct Banking and Payment Services. The Direct Banking segment offers Discover-branded credit cards to individuals; and other consumer products and services, including private student loans, personal loans, home equity loans, and other consumer lending, as well as deposit products, such as certificates of deposit, money market accounts, savings accounts, checking accounts, and individual retirement arrangement certificates of deposit. The Payment Services segment operates the PULSE network, an automated teller machine, debit, and electronic funds transfer network; Diners Club International, a payments network that issues Diners Club branded charge cards and provides card acceptance services; and Discover Network that processes transactions for Discover-branded credit and debit cards, as well as provides payment transaction processing and settlement services. The company was founded in 1985 and is based in Riverwoods, Illinois.",Mr. Roger Hochschild,Financial Services,US,17200,12244050900,2500 Lake Cook Rd,Riverwoods,ILLINOIS,60015,,82.2375,https://financialmodelingprep.com/image-stock/DFS.png,2007-06-14,False
132,DG,198.38,0.54099,2125427.0,48603300000,1.44,125.0-225.25,4.56,Dollar General Corp,USD,0000029534,US2566771059,256677105,New York Stock Exchange,NYSE,Discount Stores,https://www.dollargeneral.com/,"Dollar General Corporation, a discount retailer, provides various merchandise products in the southern, southwestern, Midwestern, and eastern United States. The company offers consumable products, including paper and cleaning products, such as paper towels, bath tissues, paper dinnerware, trash and storage bags, and laundry products; packaged food comprising cereals, canned soups and vegetables, condiments, spices, sugar, and flour; and perishables that include milk, eggs, bread, refrigerated and frozen food, beer, and wine. Its consumable products also comprise snacks, such as candies, cookies, crackers, salty snacks, and carbonated beverages; health and beauty products, including over-the-counter medicines and personal care products, such as soaps, body washes, shampoos, cosmetics, and dental hygiene and foot care products; pet supplies and pet food; and tobacco products. In addition, the company offers seasonal products comprising holiday items, toys, batteries, small electronics, greeting cards, stationery, prepaid phones and accessories, gardening supplies, hardware, and automotive and home office supplies; and home products that include kitchen supplies, cookware, small appliances, light bulbs, storage containers, frames, candles, craft supplies and kitchen, and bed and bath soft goods. Further, it provides apparel, which comprise casual everyday apparel for infants, toddlers, girls, boys, women, and men, as well as socks, underwear, disposable diapers, shoes, and accessories. As of July 31, 2020, Dollar General Corporation operated 16,720 stores in 46 states in the United States. The company was formerly known as J.L. Turner & Son, Inc. and changed its name to Dollar General Corporation in 1968. Dollar General Corporation was founded in 1939 and is based in Goodlettsville, Tennessee.",Mr. Todd Vasos,Consumer Defensive,US,143000,16158554000,100 Mission Rdg,Goodlettsville,TENNESSEE,37072,72.29,220.791,https://financialmodelingprep.com/image-stock/DG.png,2009-11-13,False
133,DGX,121.64,1.19565,1276200.0,16178119700,2.24,73.02-134.71,-0.15,Quest Diagnostics Inc,USD,0001022079,US74834L1008,74834L100,New York Stock Exchange,NYSE,Diagnostics & Research,https://www.questdiagnostics.com/,"Quest Diagnostics Incorporated provides diagnostic testing, information, and services in the United States and internationally. The company develops and delivers diagnostic information services, such as routine testing, non-routine and advanced clinical testing, anatomic pathology testing, and other diagnostic information services. It offers diagnostic information services primarily under the Quest Diagnostics brand, as well as under the AmeriPath, Dermpath Diagnostics, Athena Diagnostics, ExamOne, and Quanum brands to patients, clinicians, hospitals, integrated delivery networks, health plans, employers, and accountable care organizations through a network of laboratories, patient service centers, phlebotomists in physician offices, call centers and mobile paramedics, nurses, and other health and wellness professionals. The company also offers risk assessment services for the life insurance industry; and healthcare organizations and clinicians robust information technology solutions. Quest Diagnostics Incorporated has a strategic collaboration with hc1; and strategic relationships with Clinical Genomics Pty Ltd and Anthem Inc. The company was founded in 1967 and is headquartered in Secaucus, New Jersey.",Mr. Stephen Rusckowski,Healthcare,US,47000,19735202700,500 Plaza Dr,Secaucus,NEW JERSEY,07094,,131.595,https://financialmodelingprep.com/image-stock/DGX.png,1996-12-17,False
134,DHI,82.96,1.75632,3236345.0,30172719100,0.75,25.51-83.25,2.94,D.R. Horton Inc,USD,0000882184,US23331A1097,23331A109,New York Stock Exchange,NYSE,Residential Construction,https://www.drhorton.com/,"D.R. Horton, Inc. operates as a homebuilding company in East, Midwest, Southeast, South Central, Southwest, and West regions in the United States. It engages in the acquisition and development of land; and construction and sale of homes in 20 states and 51 markets in the United States under the names of D.R. Horton, America's Builder, Express Homes, Emerald Homes, and Freedom Homes. The company constructs and sells single-family detached homes; and attached homes, such as town homes, duplexes, and triplexes. It is also involved in the origination and sale of mortgages; and provision of title insurance policies, and examination and closing services, as well as engages in the residential lot development business. The company primarily serves homebuyers. D.R. Horton, Inc. was founded in 1978 and is based in Arlington, Texas.",Mr. David Auld,Consumer Cyclical,US,9716,18173908200,1341 Horton Cir,Arlington,TEXAS,76011,-83.29,77.0695,https://financialmodelingprep.com/image-stock/DHI.png,1995-12-14,False
135,DHR,235.65,0.87998,2655514.0,167547142000,0.72,119.6-248.32,0.06,Danaher Corp,USD,0000313616,US2358511028,235851102,New York Stock Exchange,NYSE,Diagnostics & Research,https://www.danaher.com/,"Danaher Corporation designs, manufactures, and markets professional, medical, industrial, and commercial products and services worldwide. The company operates through three segments; Life Sciences, Diagnostics, and Environmental & Applied Solutions. The Life Sciences segment provides mass spectrometers; cellular analysis, lab automation, and centrifugation instruments; microscopes; and genomics consumables. This segment also offers filtration, separation, and purification technologies to the biopharmaceutical, food and beverage, medical, aerospace, microelectronics, and general industrial sectors. The Diagnostics segment provides chemistry, immunoassay, microbiology, and automation systems, as well as hematology and molecular diagnostics products. This segment offers analytical instruments, reagents, consumables, software, and services for hospitals, physicians' offices, reference laboratories, and other critical care settings. The Environmental & Applied Solutions segment offers instrumentation, consumables, software, services, and disinfection systems to analyze, treat, and manage ultra-pure, potable, industrial, waste, ground, source, and ocean water in residential, commercial, industrial, and natural resource applications. This segment also provides equipment, software, services, and consumables for various color and appearance management, packaging design and quality management, packaging converting, printing, marking, coding, and traceability applications for consumer, pharmaceutical, and industrial products. The company was formerly known as Diversified Mortgage Investors, Inc. and changed its name to Danaher Corporation in 1984. Danaher Corporation was founded in 1969 and is headquartered in Washington, the District of Columbia.",Mr. Thomas Joyce,Healthcare,US,60000,12028280850,2200 Pennsylvania Ave NW Ste 800w,WASHINGTON,WASHINGTON DC,20037-1701,-98.14,253.996,https://financialmodelingprep.com/image-stock/DHR.png,1969-12-10,False
136,DIS,190.0,1.07699,12299206.0,344709399000,0.88,79.07-190.64,8.84,Walt Disney Co,USD,0001744489,US2546871060,254687106,New York Stock Exchange,NYSE,Entertainment,https://thewaltdisneycompany.com/,"The Walt Disney Company, together with its subsidiaries, operates as an entertainment company worldwide. The company's Media Networks segment operates domestic cable networks under the Disney, ESPN, Freeform, FX, and National Geographic brands; and television broadcast network under the ABC brand, as well as eight owned domestic television stations. This segment is also involved in the television production and distribution; and operation of National Geographic magazines. Its Parks, Experiences and Products segment operates theme parks and resorts, such as Walt Disney World Resort in Florida; Disneyland Resort in California; Disneyland Paris; Hong Kong Disneyland Resort; and Shanghai Disney Resort; Disney Cruise Line, Disney Vacation Club, National Geographic Expeditions, and Adventures by Disney; and Aulani, a Disney resort and spa in Hawaii, as well as licenses its intellectual property to a third party for the operations of the Tokyo Disney Resort in Japan. The company's Studio Entertainment segment produces and distributes motion pictures under the Walt Disney Pictures, Twentieth Century Fox, Marvel, Lucasfilm, Pixar, Fox Searchlight Pictures, and Blue Sky Studios banners; develops, produces, and licenses live entertainment events; produces and distributes music; and provides post-production services, including visual and audio effects. Its Direct-To-Consumer & International segment operates international television networks and channels comprising Disney, ESPN, Fox, National Geographic, Star, and Other India Channels; direct-to-consumer streaming services consisting of Disney +, ESPN+, Hotstar, and Hulu; and operates branded apps and Websites, such as Disney Movie Club and Disney Digital Network, as well as provides streaming technology support services. The company was founded in 1923 and is based in Burbank, California.",Mr. Robert Chapek,Consumer Cyclical,US,203000,18185601000,500 S Buena Vista St,Burbank,CALIFORNIA,,27.69,129.882,https://financialmodelingprep.com/image-stock/DIS.png,1957-11-12,False
137,DISCA,43.25,1.35,8389353.0,19216191500,0.0,17.12-49.94,0.58,Discovery Inc,USD,0001437107,US25470F1049,25470F104,Nasdaq Global Select,NASDAQ,Entertainment,https://corporate.discovery.com/,"Discovery, Inc. operates as a media company in the United States and internationally. The company operates in two segments, U.S. Networks and International Networks. The company owns and operates various television networks under the Discovery Channel, TLC, Animal Planet, Investigation Discovery, Science Channel, MotorTrend, Food Network, HGTV, Travel Channel, TVN, DIY Network, Cooking Channel, Discovery Family Channel, American Heroes Channel, Destination America, Discovery Life, Discovery en Espanol, Discovery Familia, Great American Country, ID, the Oprah Winfrey Network, Eurosport, Discovery Kids, DMAX, and Discovery Home & Health brands, as well as other regional television networks. Its content spans genres, including survival, exploration, sports, lifestyle, general entertainment, home, food and travel, heroes, adventure, crime and investigation, health, and kids. The company also operates production studios that develop and produce content; and digital products and Websites. It provides content through various distribution platforms comprising pay-television, free-to-air and broadcast television, authenticated GO applications, digital distribution arrangements, and content licensing agreements, as well as various platforms that include brand-aligned Websites, online streaming, mobile devices, video on demand, and broadband channels. As of February 27, 2020, the company delivered approximately 8,000 hours of original programming each year in approximately 50 languages worldwide. Discovery, Inc. was founded in 1985 and is headquartered in Silver Spring, Maryland.",Mr. David Zaslav,Communication Services,US,9200,12406622000,1 Discovery Pl,Silver Spring,MARYLAND,20910,,22.1531,https://financialmodelingprep.com/image-stock/DISCA.png,2005-06-30,False
138,DISCK,37.0,1.63575,4182503.0,19216207900,0.0,15.43-38.0,0.58,Discovery Communications Inc.,USD,,,,Nasdaq Global Select,NASDAQ,Entertainment,http://corporate.discovery.com,"Discovery, Inc. operates as a media company in the United States and internationally. The company operates in two segments, U.S. Networks and International Networks. The company owns and operates various television networks under the Discovery Channel, TLC, Animal Planet, Investigation Discovery, Science Channel, MotorTrend, Food Network, HGTV, Travel Channel, TVN, DIY Network, Cooking Channel, Discovery Family Channel, American Heroes Channel, Destination America, Discovery Life, Discovery en Espanol, Discovery Familia, Great American Country, ID, the Oprah Winfrey Network, Eurosport, Discovery Kids, DMAX, and Discovery Home & Health brands, as well as other regional television networks. Its content spans genres, including survival, exploration, sports, lifestyle, general entertainment, home, food and travel, heroes, adventure, crime and investigation, health, and kids. The company also operates production studios that develop and produce content; and digital products and Websites. It provides content through various distribution platforms comprising pay-television, free-to-air and broadcast television, authenticated GO applications, digital distribution arrangements, and content licensing agreements, as well as various platforms that include brand-aligned Websites, online streaming, mobile devices, video on demand, and broadband channels. As of February 27, 2020, the company delivered approximately 8,000 hours of original programming each year in approximately 50 languages worldwide. Discovery, Inc. was founded in 1985 and is headquartered in Silver Spring, Maryland.",Mr. David M. Zaslav,Communication Services,US,9200,240-662-2000,8403 Colesville Road,Silver Spring,MD,20910,287.38,315.84,https://financialmodelingprep.com/image-stock/DISCK.png,,False
139,DISH,31.52,1.80352,4941967.0,16579772400,0.0,17.09-42.62,0.31,DISH Network Corp,USD,0001001082,US25470M1099,25470M109,Nasdaq Global Select,NASDAQ,Entertainment,http://www.dish.com/,"DISH Network Corporation, together with its subsidiaries, provides pay-TV services in the United States. The company operates in two segments, Pay-TV and Wireless. It offers video services under the DISH TV brand; and programming packages that include programming through national broadcast networks, local broadcast networks, and national and regional cable networks, as well as regional and specialty sports channels, premium movie channels, and Latino and international programming packages. The company also provides access to movies and TV shows through TV or Internet-connected tablets, smartphones, and computers; and dishanywhere.com and mobile applications for smartphones and tablets to view authorized content, search program listings, and remotely control certain features. In addition, it offers Sling TV services, including Sling International, Sling Latino, Sling Orange, and Sling Blue services that require an Internet connection and are available on streaming-capable devices, such as TVs, tablets, computers, game consoles, and smart phones primarily to consumers who do not subscribe to traditional satellite and cable pay-TV services. As of December 31, 2019, it had 11.986 million Pay-TV subscribers. The company offers receiver systems and programming through direct sales channels, small satellite retailers, direct marketing groups, local and regional consumer electronics stores, retailers, and telecommunications companies. DISH Network Corporation was founded in 1980 and is headquartered in Englewood, Colorado.",Mr. W. Erik Carlson,Communication Services,US,16000,13037231000,9601 S Meridian Blvd,Englewood,COLORADO,80112,4.93,31.3724,https://financialmodelingprep.com/image-stock/DISH.png,1995-06-20,False
140,DLR,146.37,0.19104,1900233.0,41007747000,4.48,105.0-165.49,0.81,Digital Realty Trust Inc,USD,0001297996,US2538681030,253868103,New York Stock Exchange,NYSE,REIT Office,https://www.digitalrealty.com,"Digital Realty supports the world's leading enterprises and service providers by delivering the full spectrum of data center, colocation and interconnection solutions. PlatformDIGITALR, the company's global data center platform, provides customers a trusted foundation and proven Pervasive Datacenter Architecture PDxTM solution methodology for scaling digital business and efficiently managing data gravity challenges. Digital Realty's global data center footprint gives customers access to the connected communities that matter to them with more than 284 facilities in 48 metros across 23 countries on six continents.",Mr. A. William Stein,Real Estate,US,1550,14157386500,4 Embarcadero Ctr Ste 3200,San Francisco,CALIFORNIA,94111,,155.483,https://financialmodelingprep.com/image-stock/DLR.png,2004-10-29,False
141,DLTR,107.07,0.65158,2053816.0,25182007300,0.0,60.2-115.45,1.425,Dollar Tree Inc,USD,0000935703,US2567461080,256746108,Nasdaq Global Select,NASDAQ,Discount Stores,https://www.dollartree.com/,"Dollar Tree, Inc. operates discount variety retail stores. It operates through two segments, Dollar Tree and Family Dollar. The Dollar Tree segment offers merchandise at the fixed price of $1.00. It provides consumable merchandise, including candy and food, and health and beauty care, as well as everyday consumables, such as household paper and chemicals, and frozen and refrigerated food; variety merchandise comprising toys, durable housewares, gifts, stationery, party goods, greeting cards, softlines, and other items; and seasonal goods that include Valentine's Day, Easter, Halloween, and Christmas merchandise. This segment operates 7,505 stores under the Dollar Tree and Dollar Tree Canada brands, as well as 13 distribution centers in the United States and 2 in Canada; and a store support center in Chesapeake, Virginia. The Family Dollar segment operates general merchandise discount retail stores that offer consumable merchandise, which comprise food and beverages, tobacco, health and beauty aids, household chemicals, paper products, hardware and automotive supplies, diapers, batteries, and pet food and supplies; and home products, including housewares, home décor, and giftware, as well as domestics, such as comforters, sheets, and towels. Its stores also provides apparel and accessories merchandise comprising clothing, fashion accessories, and shoes; and seasonal and electronics merchandise that include Valentine's Day, Easter, Halloween, and Christmas merchandise, as well as personal electronics, which comprise pre-paid cellular phones and services, stationery and school supplies, and toys. This segment operates 7,783 stores under the Family Dollar brand; and 11 distribution centers. The company was founded in 1986 and is headquartered in Chesapeake, Virginia.",Mr. Gary Philbin,Consumer Defensive,US,56900,17573215000,500 Volvo Pkwy,Chesapeake,VIRGINIA,23320,1451.74,97.1027,https://financialmodelingprep.com/image-stock/DLTR.png,1995-03-06,False
142,DOV,120.89,1.37651,788251.0,17420611600,1.97,62.95-130.41,-0.17,Dover Corp,USD,0000029905,US2600031080,260003108,New York Stock Exchange,NYSE,Specialty Industrial Machinery,https://www.dovercorporation.com/,"Dover Corporation provides equipment and components, consumable supplies, aftermarket parts, software and digital solutions, and support services worldwide. The Engineered Products segment provides aftermarket vehicle services, solid waste handling, industrial automation, aerospace and defense, industrial winch and hoist, bearings, drives, electric monitoring, and fluid dispensing systems. This segment also offers manual and power clamps, rotary and linear mechanical indexers, conveyors, pick and place units, glove ports, and manipulators, as well as end-of-arm robotic grippers and slides and end effectors. The Fueling Solutions segment transports fuels and other hazardous fluids, as well as operates retail fueling and vehicle wash establishments. The Imaging and Identification segment provides precision marking and coding; product traceability; and digital textile printing equipment, as well as related consumables. The Pumps and Process Solutions segment manufactures specialty pumps, fluid handling components, plastics and polymer processing equipment, and highly engineered components for rotating and reciprocating machines. This segment also manufactures pumps that are used to transfer liquid and bulk products in various markets, including plastics and polymers processing, chemicals production, food/sanitary, biopharma, medical, transportation, petroleum refining, power generation and general industrial applications. The Refrigeration & Food Equipment segment manufactures refrigeration systems, refrigeration display cases, commercial glass refrigerators and freezer doors, and brazed heat exchangers for industrial heating and cooling, and residential climate control applications; and commercial food service equipment and can-shaping machinery. The company sells its products directly and through a network of distributors. Dover Corporation was incorporated in 1947 and is headquartered in Downers Grove, Illinois.",Mr. Richard Tobin,Industrials,US,24000,16305411540,3005 Highland Pkwy Ste 200,Downers Grove,ILLINOIS,60515,,116.433,https://financialmodelingprep.com/image-stock/DOV.png,1956-12-03,False
143,DOW,57.35,0.0,4173982.0,42663526000,2.8,21.95-61.31,0.11,Dow Inc,USD,0001751788,US2605571031,260557103,NYSE,NYSE,Chemicals,,"Dow Inc. provides various materials science solutions for consumer care, infrastructure, and packaging markets in the United States, Canada, Europe, the Middle East, Africa, India, the Asia Pacific, and Latin America. It operates through Packaging & Specialty Plastics, Industrial Intermediates & Infrastructure, and Performance Materials and Coatings segments. The Packaging & Specialty Plastics segment provides ethylene, and propylene and aromatic products; and polyethylene, polyolefin elastomers, ethylene vinyl acetate, and ethylene propylene diene monomer rubbers. The Industrial Intermediates & Infrastructure segment offers ethylene oxides, propylene oxide, propylene glycol and polyether polyols, aromatic isocyanates and polyurethane systems, coatings, adhesives, sealants, elastomers, and composites. This segment also provides caustic soda, and ethylene dichloride and vinyl chloride monomers; and cellulose ethers, redispersible latex powders, silicones, and acrylic emulsions. The Performance Materials and Coatings segment provides architectural paints and coatings, and industrial coatings that are used in maintenance and protective industries, wood, metal packaging, traffic markings, thermal paper, and leather; performance monomers and silicones; standalone silicones; and home and personal care solutions. It also engages in property and casualty insurance, as well as reinsurance business. Dow Inc. was incorporated in 2018 and is headquartered in Midland, Michigan.",Mr. James Fitterling,Basic Materials,US,36500,19896361000,2211 H H Dow Way,Midland,MICHIGAN,48674,,51.7379,https://financialmodelingprep.com/image-stock/DOW.png,2019-03-20,False
144,DRE,41.61,0.59481,1995645.0,15476881400,1.2149999999999999,25.19-43.45,0.23,Duke Realty Corp,USD,,US2644115055,264411505,New York Stock Exchange,NYSE,REIT Industrial,https://www.dukerealty.com/,Duke Realty Corporation owns and operates approximately 156 million rentable square feet of industrial assets in 20 major logistics markets. Duke Realty Corporation is publicly traded on the NYSE under the symbol DRE and is a member of the S&P 500 Index.,Mr. James Connor,Real Estate,US,400,13178086000,8711 River Crossing Blvd,Indianapolis,INDIANA,46240,37.28,38.8319,https://financialmodelingprep.com/image-stock/DRE.png,1986-02-06,False
145,DRI,130.27,1.37445,1741480.0,16977828900,0.6699999999999999,26.15-133.33,-1.71,Darden Restaurants Inc,USD,0000940944,US2371941053,237194105,New York Stock Exchange,NYSE,Restaurants,https://www.darden.com,"Darden Restaurants, Inc., through its subsidiaries, owns and operates full-service restaurants in the United States and Canada. As of May 31, 2020, it owned and operated approximately 1,804 restaurants, which included 868 under the Olive Garden, 522 under the LongHorn Steakhouse, 165 under the Cheddar's Scratch Kitchen, 81 under the Yard House, 60 under The Capital Grille, 44 under the Seasons 52, 41 under the Bahama Breeze, and 23 under the Eddie V's Prime Seafood brands. The company was founded in 1968 and is based in Orlando, Florida.",Mr. Eugene Lee,Consumer Cyclical,US,177895,14072454000,1000 Darden Center Dr,Orlando,FLORIDA,32837,1336.88,103.911,https://financialmodelingprep.com/image-stock/DRI.png,1995-05-09,False
